,SMILES,in_silico_SARS_CoV_2_Mpro_docking_structure_POSIT_msk,Compound_ID,in_silico_SARS_CoV_2_Mpro_docking_confidence_POSIT_msk,in_silico_SARS_CoV_2_Mpro_docking_score_POSIT_msk,POSIT_Method,POSIT,RMSD,Dataset,Complex_ID,Reference_Ligand,TanimotoCombo
10,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(c(c4)Cl)Cl,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,ALP-POS-869ac754-1,0.85,-7.2569403648376465,ALL,0.85,0.6827712149081,Mpro-P0160_0A,ALP-POS-869ac754-1_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.343427300453186
11,c1ccc2c(c1)cncc2NC(=O)[C@H]3c4cc(ccc4CC[NH2+]3)Cl,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,MAT-POS-fb82b63d-1,0.9,-8.744695663452148,ALL,0.9,0.7988848488884166,Mpro-P0160_0A,MAT-POS-fb82b63d-1_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.174764633178711
12,CO[C@]1(CCOc2c1cc(cc2F)F)C(=O)Nc3cncc4c3cccc4,Mpro-P0157_0A_PET-UNK-29afea89-2_prepped_receptor_0,EDJ-MED-37aac4bd-4,0.89,-10.176823616027832,ALL,0.89,0.6025109329912002,Mpro-P0157_0A,EDJ-MED-37aac4bd-4_Mpro-P0157_0A,PET-UNK-29afea89-2,1.4777673482894897
13,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3ccc(c4)F,Mpro-P1835_0A_EDJ-MED-015fb6b4-2_prepped_receptor_0,MAT-POS-e119ab4f-1,0.99,-9.646846771240234,ALL,0.99,0.30398090559129803,Mpro-P1835_0A,MAT-POS-e119ab4f-1_Mpro-P1835_0A,EDJ-MED-015fb6b4-2,1.7592899799346924
14,c1cc2cncc(c2cc1F)NC(=O)[C@@H]3CCOc4c3cc(c(c4)F)Cl,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,MAT-POS-96f51285-5,0.99,-8.747977256774902,ALL,0.99,0.6583655742017012,Mpro-P0160_0A,MAT-POS-96f51285-5_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.374169111251831
15,C[NH2+][C@@H](c1ccc(c(c1)Cl)Cl)C(=O)Nc2cncc3c2cccc3,Mpro-P0069_0A_RAL-THA-2d450e86-7_prepped_receptor_0,MAT-POS-fce787c2-5,0.79,-7.34242057800293,ALL,0.79,0.4347852130124879,Mpro-P0069_0A,MAT-POS-fce787c2-5_Mpro-P0069_0A,RAL-THA-2d450e86-7,1.6265668869018555
16,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2cc(cc3)C(=O)[O-],Mpro-P2218_0A_MAT-POS-90fd5f68-19_prepped_receptor_0,MAT-POS-90fd5f68-37,0.89,-10.143546104431152,ALL,0.89,0.3418154895922757,Mpro-P2218_0A,MAT-POS-90fd5f68-37_Mpro-P2218_0A,MAT-POS-90fd5f68-19,1.6491777896881104
17,c1cc2c(cc1Cl)[C@@H](CCO2)C(=O)N[C@@H]3CCNC(=O)C3,Mpro-P0145_0A_BRU-CON-c4e3408a-1_prepped_receptor_0,ALP-POS-8b8a49e1-4,0.9,-7.86602783203125,ALL,0.9,4.700090929658812,Mpro-P0145_0A,ALP-POS-8b8a49e1-4_Mpro-P0145_0A,BRU-CON-c4e3408a-1,0.04142311215400696
18,c1ccc2c(c1)cncc2NC(=O)[C@@H](c3ccc(c(c3)Cl)Cl)[NH3+],Mpro-P0887_0A_RUB-POS-1325a9ea-4_prepped_receptor_0,MAT-POS-1f3f1a6f-1,0.85,-8.076897621154785,ALL,0.85,0.48876452371531465,Mpro-P0887_0A,MAT-POS-1f3f1a6f-1_Mpro-P0887_0A,RUB-POS-1325a9ea-4,1.4924981594085693
19,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(C(=O)c4c3cc(cc4)Cl)CC(=O)NC5COC5,Mpro-P2224_0A_MAT-POS-e119ab4f-1_prepped_receptor_0,EDJ-MED-43f8f7d6-6,0.91,-9.84259033203125,ALL,0.91,0.7119193854140401,Mpro-P2224_0A,EDJ-MED-43f8f7d6-6_Mpro-P2224_0A,MAT-POS-e119ab4f-1,1.3673679828643799
20,CS(=O)(=O)Oc1ccc2cncc(c2c1)NC(=O)Cc3cccc(c3)Cl,Mpro-P2219_0A_MAT-POS-90fd5f68-22_prepped_receptor_0,PET-UNK-7fb4f80a-2,0.9,-6.770791053771973,ALL,0.9,1.3845160075978373,Mpro-P2219_0A,PET-UNK-7fb4f80a-2_Mpro-P2219_0A,MAT-POS-90fd5f68-22,1.2684950828552246
21,c1ccc2c(c1)cncc2NC(=O)[C@@H]3C[N@](Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCC5)C#N,Mpro-P1788_0A_MAT-POS-dc2604c4-1_prepped_receptor_0,MAT-POS-4223bc15-12,0.91,-9.94326400756836,ALL,0.91,0.7500895084252723,Mpro-P1788_0A,MAT-POS-4223bc15-12_Mpro-P1788_0A,MAT-POS-dc2604c4-1,1.6104717254638672
22,c1ccc2c(c1)cncc2NC(=O)[C@H](c3ccc(c(c3)Cl)Cl)O,Mpro-P0887_0A_RUB-POS-1325a9ea-4_prepped_receptor_0,MAT-POS-fce787c2-4,0.79,-8.212553977966309,ALL,0.79,0.5850056450134337,Mpro-P0887_0A,MAT-POS-fce787c2-4_Mpro-P0887_0A,RUB-POS-1325a9ea-4,1.3839473724365234
23,CC(=O)N1CC[C@H](c2c1ccc(c2)Cl)C(=O)Nc3cncc4c3cccc4,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,EDG-MED-5d232de5-3,0.9,-6.4239583015441895,ALL,0.9,0.7536539070487865,Mpro-P0160_0A,EDG-MED-5d232de5-3_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.3506724834442139
24,C[C@@H](c1ccc(c(c1)Cl)Cl)C(=O)Nc2cncc3c2cccc3,Mpro-P0069_0A_RAL-THA-2d450e86-7_prepped_receptor_0,MAT-POS-fce787c2-3,0.91,-7.551293849945068,ALL,0.91,1.4790046108397505,Mpro-P0069_0A,MAT-POS-fce787c2-3_Mpro-P0069_0A,RAL-THA-2d450e86-7,1.4845008850097656
25,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,Mpro-P2178_0A_MAT-POS-e119ab4f-3_prepped_receptor_0,MAT-POS-4223bc15-23,0.91,-9.760490417480469,ALL,0.91,0.8823422894866717,Mpro-P2178_0A,MAT-POS-4223bc15-23_Mpro-P2178_0A,MAT-POS-e119ab4f-3,1.0605608224868774
26,c1ccc2c(c1)cncc2CC(=O)N(CCC3CCCCC3)Cc4cccs4,Mpro-P0057_0A_MAT-POS-6c284e65-1_prepped_receptor_0,ALP-POS-64a710fa-1,0.8300000000000001,-11.221582412719728,ALL,0.8300000000000001,1.192076668558774,Mpro-P0057_0A,ALP-POS-64a710fa-1_Mpro-P0057_0A,MAT-POS-6c284e65-1,1.3334691524505615
27,c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)O,Mpro-P0157_0A_PET-UNK-29afea89-2_prepped_receptor_0,EDG-MED-971238d3-1,0.95,-10.070159912109377,ALL,0.9500000000000001,0.4592004036927697,Mpro-P0157_0A,EDG-MED-971238d3-1_Mpro-P0157_0A,PET-UNK-29afea89-2,1.6364794969558716
28,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CNS(=O)(=O)c4c3cc(cc4)Cl,Mpro-P2601_0A_MIK-UNK-78dbf1b8-1_prepped_receptor_0,ALP-POS-a577c8a2-1,0.99,-9.128148078918455,ALL,0.99,0.30026371017530523,Mpro-P2601_0A,ALP-POS-a577c8a2-1_Mpro-P2601_0A,MIK-UNK-78dbf1b8-1,1.8179068565368652
29,c1ccc2c(c1)cncc2C(=O)N3CCN(C(=O)C3)c4cccc(c4)Cl,Mpro-P0185_0A_MAT-POS-fce787c2-6_prepped_receptor_0,ERI-UCB-d6de1f3c-2,0.5,-4.561729907989502,ALL,0.5,0.8279467644151167,Mpro-P0185_0A,ERI-UCB-d6de1f3c-2_Mpro-P0185_0A,MAT-POS-fce787c2-6,1.2630454301834106
30,c1cc(cc(c1)Cl)CC(=O)Nc2cnccc2C(F)(F)F,Mpro-P0887_0A_RUB-POS-1325a9ea-4_prepped_receptor_0,SAM-UNK-2684b532-12,0.91,-7.878395080566406,ALL,0.91,0.8856744763665042,Mpro-P0887_0A,SAM-UNK-2684b532-12_Mpro-P0887_0A,RUB-POS-1325a9ea-4,1.450743556022644
31,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cccc4,Mpro-P2224_0A_MAT-POS-e119ab4f-1_prepped_receptor_0,MAT-POS-a54ce14d-2,0.99,-9.37259292602539,ALL,0.99,0.1980503235601745,Mpro-P2224_0A,MAT-POS-a54ce14d-2_Mpro-P2224_0A,MAT-POS-e119ab4f-1,1.8688148260116577
32,CNS(=O)(=O)c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OC,Mpro-P0160_0A_EDG-MED-5d232de5-1_prepped_receptor_0,EDJ-MED-6bf93aa8-1,0.72,-8.363506317138672,ALL,0.72,1.1013764814265037,Mpro-P0160_0A,EDJ-MED-6bf93aa8-1_Mpro-P0160_0A,EDG-MED-5d232de5-1,1.476871132850647
33,CC(C)[N@H+]1CCO[C@H](C1)C(=O)N[C@](C)(c2ccc(c(c2)Cl)Cl)C(=O)Nc3cncc4c3cccc4,Mpro-P0747_0A_MAT-POS-e9e99895-13_prepped_receptor_0,MAT-POS-e9e99895-2,0.85,-6.112377166748047,ALL,0.85,1.9393303846913623,Mpro-P0747_0A,MAT-POS-e9e99895-2_Mpro-P0747_0A,MAT-POS-e9e99895-13,1.0609204769134521
34,CCC(=O)N(c1cncc2c1cccc2)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,Mpro-P0213_0A_MAT-POS-e69ad64a-2_prepped_receptor_0,MAT-POS-090737b9-1,0.97,-6.387398719787598,ALL,0.97,0.7650706797910758,Mpro-P0213_0A,MAT-POS-090737b9-1_Mpro-P0213_0A,MAT-POS-e69ad64a-2,1.3180065155029297
35,C[NH+](C)CCOc1ccc2cncc(c2c1)N3CC[C@@]4(C3=O)C[N@](Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,Mpro-P1507_0A_MAT-POS-8293a91a-8_prepped_receptor_0,MAT-POS-853c0ffa-9,0.5,-6.192957878112793,ALL,0.5,2.8902497516291703,Mpro-P1507_0A,MAT-POS-853c0ffa-9_Mpro-P1507_0A,MAT-POS-8293a91a-8,0.9792364835739136
36,C[C@]1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3CCCC4,Mpro-P2415_0A_ALP-POS-4483ae88-4_prepped_receptor_0,MIK-ENA-5d9157e9-5,0.99,-8.665743827819824,ALL,0.99,0.744696707895289,Mpro-P2415_0A,MIK-ENA-5d9157e9-5_Mpro-P2415_0A,ALP-POS-4483ae88-4,1.8745195865631104
37,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cc(cc4)NS(=O)(=O)C,Mpro-P1835_0A_EDJ-MED-015fb6b4-2_prepped_receptor_0,MAT-POS-2e8b2191-11,0.91,-8.192581176757812,ALL,0.91,0.8461070260507112,Mpro-P1835_0A,MAT-POS-2e8b2191-11_Mpro-P1835_0A,EDJ-MED-015fb6b4-2,1.4831347465515137
38,C[N@@](CCOC)S(=O)(=O)[N@]1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl,Mpro-P1982_0A_MAT-POS-af1eef35-2_prepped_receptor_0,MAT-POS-5cd9ea36-22,0.91,-8.149799346923828,ALL,0.91,1.348126652390864,Mpro-P1982_0A,MAT-POS-5cd9ea36-22_Mpro-P1982_0A,MAT-POS-af1eef35-2,1.465644121170044
39,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cccc4,Mpro-P2224_0A_MAT-POS-e119ab4f-1_prepped_receptor_0,EDJ-MED-015fb6b4-2,0.99,-9.37259292602539,ALL,0.99,0.28580322656716795,Mpro-P2224_0A,EDJ-MED-015fb6b4-2_Mpro-P2224_0A,MAT-POS-e119ab4f-1,1.7714729309082031
