Bootstraps,StructureChoice,StructureChoice_Choose_N,Score,Score_Choose_N,EvaluationMetric,EvaluationMetric_Cutoff,Split,N_Per_Split,PoseSelection,PoseSelection_Choose_N,Min,Max,CI_Upper,CI_Lower,Total,Fraction
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.07757802486848397
1000,ECFP4_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08356119081779054
1000,ECFP4_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.09095650406504066
1000,ECFP4_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.0839449306551889
1000,ECFP4_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.07124552845528456
1000,MCSS_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08081609277857484
1000,MCSS_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.44390243902439025,0.0,205,0.08651814921090388
1000,MCSS_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08765411286465806
1000,MCSS_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.08983263988522239
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.09346303204208511
1000,ECFP4_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08052326637972261
1000,ECFP4_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.08658017694882833
1000,ECFP4_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.08876910569105692
1000,MCSS_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08462381635581062
1000,ECFP4_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.0896868962219034
1000,MCSS_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.0856043280726925
1000,MCSS_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.0790220468675275
1000,MCSS_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,1,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.07835179340028693
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.09203950263032043
1000,ECFP4_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.0882871592539455
1000,ECFP4_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08571530368244859
1000,ECFP4_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08518840267814444
1000,ECFP4_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.08166458632233381
1000,MCSS_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6439024390243903,0.43414634146341463,0.004878048780487805,205,0.08461018651362984
1000,MCSS_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.43414634146341463,0.004878048780487805,205,0.08018555714968914
1000,MCSS_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.0834216642754663
1000,MCSS_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,2,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.08507824007651842
1000,ECFP4_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6390243902439025,0.43414634146341463,0.004878048780487805,205,0.07462938785270205
1000,ECFP4_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6487804878048781,0.43902439024390244,0.004878048780487805,205,0.07995712577714013
1000,MCSS_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.375609756097561,0.2731707317073171,0.004878048780487805,205,0.053648087039693926
1000,ECFP4_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6487804878048781,0.44390243902439025,0.004878048780487805,205,0.09324402199904352
1000,MCSS_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6439024390243903,0.43414634146341463,0.004878048780487805,205,0.08518479196556672
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6487804878048781,0.44878048780487806,0.004878048780487805,205,0.08856724055475848
1000,MCSS_Similarity,5,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6439024390243903,0.43902439024390244,0.004878048780487805,205,0.08853794835007173
1000,MCSS_Similarity,10,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.6439024390243903,0.43902439024390244,0.004878048780487805,205,0.0944246293639407
1000,ECFP4_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,PoseSelection,5,0.0,0.551219512195122,0.3463414634146341,0.004878048780487805,205,0.0702120755619321
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,5,Default,1,0.004878048780487805,0.6439024390243903,0.4926829268292683,0.004878048780487805,205,0.1676487804878049
1000,ECFP4_Similarity,1,POSIT_Probability,1,RMSD,2.0,RandomSplit,5,Default,1,0.004878048780487805,0.4097560975609756,0.3170731707317073,0.004878048780487805,205,0.1083658536585366
1000,ECFP4_Similarity,2,POSIT_Probability,1,RMSD,2.0,RandomSplit,5,Default,1,0.004878048780487805,0.5024390243902439,0.3902439024390244,0.004878048780487805,205,0.13706829268292683
